M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
292.4590149,3723.8500977,43.7440987,434.6390076,217.7680054,13.6471996,340.9159851,3693.0800781,59.6458015,402.1619873,217.9900055,8.8058205,218.1109924,77.3768997,39.2425995,208.8070068,81.5817032,42.2792015,0.0
276.427002,3777.3898926,49.4203987,449.6430054,218.7819977,14.7214003,337.7529907,3791.6499023,62.3723984,411.6629944,211.2550049,9.8145399,219.4199982,81.0786972,39.5029984,212.4190063,91.9012985,42.6810989,0.0
473.7969971,3470.7299805,44.9496002,465.7720032,267.5599976,18.0060997,528.5040283,3493.5500488,56.7212982,433.4570007,268.8340149,10.9583998,211.1970062,63.1660995,38.5303001,208.5630035,68.2748032,41.2200012,18.0
299.7579956,3687.6000977,43.8114014,438.4519958,226.5939941,14.4177999,364.5159912,3666.6599121,60.9482994,404.3930054,232.3639984,8.9748602,218.0099945,75.4384995,39.2505989,206.7929993,84.1384964,42.3426018,9.0
374.4729919,3258.4199219,42.3410988,435.5270081,243.8430023,16.4675007,432.4259949,3331.3500977,54.1302986,396.881012,251.197998,9.6316204,209.1710052,64.2286987,38.4430008,190.2920074,76.8961029,40.8704987,18.0
294.4039917,3752.5500488,53.524601,455.8909912,241.1490021,15.9256001,371.6149902,3764.1201172,66.1687012,412.8940125,236.9470062,10.1550999,222.1820068,84.4545975,39.5167007,222.970993,93.5839996,43.0542984,0.0
347.4519958,3334.9599609,41.8560982,428.321991,233.4570007,16.3257008,398.4100037,3375.5500488,54.8521004,392.401001,234.3939972,9.2974396,209.6029968,65.2310028,37.9090996,192.5019989,78.5397034,40.1287003,9.0
277.9970093,3778.5,48.9566994,447.7919922,217.4029999,14.5495996,337.9609985,3788.5800781,62.1501999,410.7680054,210.4329987,9.6379299,219.3029938,80.4610977,39.4864998,211.9810028,91.2465973,42.6553993,9.0
441.848999,3429.1699219,45.213501,454.6270142,261.1889954,17.3017998,496.4429932,3373.3898926,58.4903984,416.1700134,260.6220093,10.2203999,210.9290009,63.7243996,38.5143013,197.451004,68.9027023,41.2636986,27.0
275.927002,3775.2700195,48.456501,445.4779968,213.9920044,14.3416996,332.7579956,3789.0800781,61.7047997,409.6929932,207.6349945,9.5409203,219.0639954,79.1623001,39.4766998,209.9320068,90.4875031,42.5872993,9.0
280.401001,3815.1999512,45.0102997,438.1409912,215.1289978,13.4581003,331.3330078,3749.7299805,60.4011002,404.9620056,206.7740021,8.9730101,219.048996,81.2835007,39.3078995,213.5930023,82.2357025,42.3277016,0.0
475.0799866,3474.5500488,44.7536011,465.5499878,267.4320068,17.9962006,528.5650024,3486.1999512,56.6138992,431.6019897,267.1740112,10.8690996,211.2019958,63.1986008,38.5331001,207.4210052,68.3909988,41.2313004,18.0
425.4119873,3382.4799805,43.8875008,449.4700012,256.1929932,17.2947998,480.3299866,3354.1799316,57.286499,410.5830078,255.1660004,10.1511002,211.1360016,63.6016006,38.5297012,197.2870026,71.1377029,41.3279991,0.0
360.1159973,3508.0300293,43.1804008,453.9849854,247.6600037,17.1849995,447.3670044,3512.5900879,58.1489983,414.8510132,246.1999969,10.6260996,218.2769928,66.7826996,39.6843987,202.029007,81.1229019,42.6380005,9.0
403.4890137,3256.0700684,43.3096008,444.1629944,253.7059937,16.9748993,467.6010132,3331.0600586,56.7159004,407.1489868,265.3200073,10.0500002,210.3619995,63.8562012,38.5074997,194.0529938,73.4501038,41.2095985,0.0
276.894989,3779.6201172,45.9538994,437.7009888,208.2709961,13.6052999,329.2009888,3770.8500977,60.1713982,405.3190002,201.3690033,8.99368,218.3300018,76.4645996,39.4014015,205.3639984,86.4890976,42.3474998,0.0
284.1159973,3800.2800293,44.7215996,442.2590027,223.6679993,14.0716,340.2229919,3784.6599121,61.2591019,407.2449951,227.0359955,8.8808403,218.9869995,81.2202988,39.3247986,217.477005,84.5864029,42.7150993,9.0
328.6059875,3566.4299316,38.5130005,424.5880127,222.2420044,16.3285999,371.3110046,3537.7399902,50.6451988,390.5950012,204.9349976,9.6779099,210.9940033,66.2014008,38.0733986,200.2299957,78.601799,40.5657005,27.0
389.2340088,3471.4599609,43.7575989,458.4660034,255.6139984,17.4277,467.3699951,3501.3500977,58.0628014,420.4490051,256.7650146,10.9370003,212.5839996,66.7061996,38.0098,202.5870056,78.8732986,40.7999001,18.0
346.4400024,3540.1699219,43.1271019,447.4360046,248.526001,16.4386005,442.7579956,3528.0200195,58.5474014,408.6040039,244.3549957,10.4352999,217.2899933,67.3472977,39.4673996,200.1060028,82.1994019,43.2793999,9.0
279.5090027,3777.8999023,50.2550011,453.1080017,224.3670044,15.0658998,345.3269958,3790.6101074,63.0121994,413.1669922,215.9230042,10.0122995,219.7550049,82.9494019,39.5169983,215.048996,92.9654007,42.7675018,27.0
374.1849976,3265.6899414,42.2196007,434.5480042,243.8569946,16.9102001,425.2869873,3319.7600098,54.7265015,394.7829895,251.6909943,9.7909698,211.0839996,64.6399002,38.5642014,196.2140045,74.1976013,41.1882019,0.0
448.901001,3462.5500488,43.7243004,456.0780029,259.1220093,17.7082005,497.2799988,3438.8701172,55.8863983,418.5570068,251.9839935,10.4830999,211.3130035,63.4440994,38.5463982,203.1730042,70.0500031,41.2658997,27.0
274.8670044,3775.9299316,49.0368996,447.822998,216.0090027,14.5506001,333.553009,3792.0700684,62.0546989,410.8640137,209.0429993,9.72505,219.253006,80.1297989,39.4953995,211.0480042,91.332901,42.6352997,9.0
359.4230042,3276.4499512,41.8160019,430.9750061,238.102005,16.3073997,413.446991,3336.8898926,53.3185997,392.4570007,242.2579956,9.5044899,209.0189972,64.4268036,38.4375992,189.5480042,77.8873978,40.8174019,0.0
