DI_Al_0_2,DI_Ca_0_2,DI_Fe_0_2,DI_K_0_2,DI_Mg_0_2,DI_P_0_2,DI_Al_2_6,DI_Ca_2_6,DI_Fe_2_6,DI_K_2_6,DI_Mg_2_6,DI_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
260.605011,191.6560059,152.4550018,40.280899,41.5876007,3.1651001,275.4660034,192.2680054,157.7929993,37.7885017,43.3381996,3.55106,218.5319977,79.5332031,39.2757988,211.723999,81.7678986,42.3445015,0.0
241.0209961,182.1089935,128.9839935,36.0009995,40.5674019,2.95504,263.4599915,191.9060059,136.871994,34.7967987,43.716301,3.06937,211.220993,63.3086014,38.5373993,204.6880035,68.9866028,41.2463989,0.0
238.9450073,193.0820007,121.0309982,35.1818008,40.4556007,2.9489999,263.2569885,212.0659943,134.0310059,34.1274986,43.7914009,3.0181601,211.9100037,64.1190033,38.591301,200.772995,75.9232025,41.2495995,9.0
233.7200012,163.8509979,117.5680008,33.5141983,39.7695999,2.8821599,259.4119873,180.7369995,131.0119934,32.1068993,43.0750008,3.03829,206.9830017,64.8022995,38.3820992,186.4450073,79.8184967,40.4468994,18.0
241.723999,180.3099976,131.3350067,36.1832008,40.6212997,2.9580801,263.7479858,186.9949951,138.2559967,34.9542007,43.7598991,3.08811,211.2250061,63.2209015,38.5360985,206.8029938,68.5269012,41.2403984,18.0
239.0780029,194.5130005,121.526001,35.2280006,40.4662018,2.9488201,263.2919922,212.3950043,134.1569977,34.1671982,43.7849007,3.0199399,211.8070068,64.2721024,38.5904007,201.0180054,75.5333023,41.2655983,9.0
259.6329956,194.9759979,150.9309998,40.3919983,41.4798012,3.17191,275.8039856,205.7460022,159.7559967,37.9252014,43.3778,3.65641,219.4579926,81.7934036,39.4584007,215.5679932,90.4013977,42.7328987,9.0
260.1929932,189.8999939,151.2559967,40.1948013,41.5489998,3.1628599,275.4140015,192.0529938,157.3829956,37.7538986,43.3339005,3.5324399,218.3040009,78.4182968,39.2582016,210.2230072,81.6289978,42.3134003,0.0
266.8980103,186.9349976,145.5410004,39.908699,43.1026993,3.0875599,284.9419861,195.3350067,155.5820007,37.9894981,45.1650009,3.45087,212.0149994,73.2730026,38.3889008,201.5410004,80.6598969,41.8473015,27.0
250.8480072,199.7660065,125.8420029,36.0592003,42.0905991,2.99546,271.1759949,224.6060028,137.7720032,34.6716995,44.9519997,3.05567,210.3990021,66.0610962,38.037899,198.2220001,78.789299,40.5087013,27.0
233.3899994,163.345993,116.4319992,33.4361,39.7435989,2.8802199,259.2250061,180.6320038,130.0630035,32.0466003,43.0472984,3.0207901,207.0,64.2120972,38.3815002,186.1730042,78.9942017,40.4412003,18.0
252.6519928,176.7129974,137.4759979,39.3039017,41.0259018,3.2377501,269.8039856,189.9019928,148.0829926,36.766201,42.8633003,3.36344,222.6990051,70.9815979,40.5227013,204.0339966,81.4636002,43.2943993,9.0
259.7940063,188.3179932,150.0919952,40.1164017,41.5115013,3.1608801,275.3359985,191.8430023,156.8880005,37.716301,43.3223,3.5155201,218.1109924,77.3768997,39.2425995,208.8070068,81.5817032,42.2792015,0.0
256.9630127,184.3029938,144.5299988,40.1052017,41.2176018,3.16887,275.3529968,198.6029968,157.4380035,37.7775993,43.2050018,3.6650701,219.4199982,81.0786972,39.5029984,212.4190063,91.9012985,42.6810989,0.0
242.6230011,177.3880005,134.1569977,36.4220009,40.669899,2.9609599,263.8670044,182.3099976,139.7510071,35.1605988,43.7932014,3.1027801,211.1970062,63.1660995,38.5303001,208.5630035,68.2748032,41.2200012,18.0
258.8720093,184.8110046,147.6040039,39.9514999,41.4045982,3.1612301,275.3299866,195.2579956,156.6829987,37.6851997,43.3420982,3.48101,218.0099945,75.4384995,39.2505989,206.7929993,84.1384964,42.3426018,9.0
235.7330017,165.3350067,115.9589996,34.9117012,40.0214005,2.92905,261.32901,184.0410004,129.9519958,33.9474983,43.289299,3.0281899,209.1710052,64.2286987,38.4430008,190.2920074,76.8961029,40.8704987,18.0
256.803009,187.5789948,144.3300018,40.0886002,41.1838989,3.18646,275.8599854,203.9869995,160.2590027,37.9253006,43.4199982,3.5844901,222.1820068,84.4545975,39.5167007,222.970993,93.5839996,43.0542984,0.0
249.2579956,173.3990021,124.2639999,36.2672997,41.9057999,2.99915,270.3619995,195.0559998,136.3300018,34.7346001,44.6516991,3.0620699,209.6029968,65.2310028,37.9090996,192.5019989,78.5397034,40.1287003,9.0
257.3789978,185.7420044,145.5240021,40.141201,41.2610016,3.1679699,275.4159851,199.9730072,157.7680054,37.7984009,43.2314987,3.66046,219.3029938,80.4610977,39.4864998,211.9810028,91.2465973,42.6553993,9.0
238.5559998,180.3609924,121.6669998,35.5026016,40.3392982,2.9435599,262.2399902,198.7890015,131.9369965,34.3568993,43.4700012,3.0264599,210.9290009,63.7243996,38.5143013,197.451004,68.9027023,41.2636986,27.0
257.0809937,183.0509949,144.7810059,40.0984993,41.2370987,3.16541,275.3340149,198.0330048,157.3480072,37.7713013,43.2038994,3.6589899,219.0639954,79.1623001,39.4766998,209.9320068,90.4875031,42.5872993,9.0
261.197998,194.9830017,154.2290039,40.4449997,41.6472015,3.16957,275.3429871,192.3269958,157.5820007,37.8047981,43.2826996,3.58656,219.048996,81.2835007,39.3078995,213.5930023,82.2357025,42.3277016,0.0
242.048996,178.9179993,132.3730011,36.2728996,40.6358986,2.9590099,263.7690125,184.9349976,138.779007,35.0326996,43.7675018,3.09374,211.2019958,63.1986008,38.5331001,207.4210052,68.3909988,41.2313004,18.0
238.4349976,182.3099976,121.0619965,35.394001,40.3541985,2.94484,262.4769897,204.1309967,132.276001,34.2901001,43.5457001,3.0298901,211.1360016,63.6016006,38.5297012,197.2870026,71.1377029,41.3279991,0.0
233.8079987,164.1109924,124.1880035,36.8157005,38.730999,3.0931001,257.8680115,178.2400055,138.1369934,35.7116013,41.8140984,3.21455,218.2769928,66.7826996,39.6843987,202.029007,81.1229019,42.6380005,9.0
236.4839935,169.7400055,117.4179993,35.1590004,40.1276016,2.9384201,261.6270142,191.6150055,130.5800018,34.1423988,43.3666992,3.0369,210.3619995,63.8562012,38.5074997,194.0529938,73.4501038,41.2095985,0.0
257.4930115,182.8739929,145.5930023,40.0634003,41.2874985,3.15749,275.1440125,195.2259979,156.6499939,37.7271996,43.1736984,3.62852,218.3300018,76.4645996,39.4014015,205.3639984,86.4890976,42.3474998,0.0
261.9169922,192.8789978,155.970993,40.4286995,41.6839981,3.17277,276.3529968,199.572998,162.0110016,38.0214005,43.5889015,3.56248,218.9869995,81.2202988,39.3247986,217.477005,84.5864029,42.7150993,9.0
250.7680054,202.2120056,125.6029968,36.1105003,42.0850983,2.9988501,271.2510071,223.1629944,137.9940033,34.7117004,44.9746017,3.04984,210.9940033,66.2014008,38.0733986,200.2299957,78.601799,40.5657005,27.0
236.1289978,162.2910004,124.3740005,36.1271019,39.1832008,3.0264299,255.9299927,175.6499939,135.2339935,34.7092018,41.7566986,3.1461101,212.5839996,66.7061996,38.0098,202.5870056,78.8732986,40.7999001,18.0
228.6529999,165.2330017,119.5270004,34.6561012,38.0788994,2.99512,253.0679932,181.0659943,134.4980011,33.4138985,41.1963997,3.1255,217.2899933,67.3472977,39.4673996,200.1060028,82.1994019,43.2793999,9.0
257.0870056,186.8540039,144.8500061,40.1276016,41.2209015,3.1721001,275.3999939,200.095993,157.7380066,37.7975998,43.2246017,3.66223,219.7550049,82.9494019,39.5169983,215.048996,92.9654007,42.7675018,27.0
235.3890076,171.003006,114.0800018,34.9007988,40.0723991,2.9418299,261.4859924,195.625,129.2079926,33.9189987,43.3716011,3.0123301,211.0839996,64.6399002,38.5642014,196.2140045,74.1976013,41.1882019,0.0
240.3840027,185.6210022,126.7429962,35.7947998,40.5363007,2.95296,263.3800049,198.1860046,135.8159943,34.6222992,43.712101,3.0534301,211.3130035,63.4440994,38.5463982,203.1730042,70.0500031,41.2658997,27.0
256.8500061,182.7189941,144.246994,40.0878983,41.2111015,3.1672101,275.3200073,197.5420074,157.2420044,37.7647018,43.1925011,3.6652501,219.253006,80.1297989,39.4953995,211.0480042,91.332901,42.6352997,9.0
235.6040039,167.2480011,115.3349991,34.8091011,40.0139999,2.927,261.3200073,186.4320068,129.654007,33.8644981,43.294899,3.02036,209.0189972,64.4268036,38.4375992,189.5480042,77.8873978,40.8174019,0.0
260.0679932,194.8009949,151.8240051,40.3866005,41.530899,3.1681399,275.5960083,202.3000031,158.8959961,37.8670998,43.3278008,3.64288,219.2709961,80.5485992,39.4133987,214.0879974,87.3985977,42.5839996,0.0
261.5809937,199.279007,155.7929993,40.7028008,41.6548004,3.1846299,276.5239868,208.227005,163.151001,38.1621017,43.6236992,3.6433401,219.7059937,85.2185974,39.4586983,220.4100037,91.7697983,42.9480019,0.0
252.9429932,164.9230042,134.1340027,39.4140015,40.7977982,3.16151,274.0169983,184.6999969,151.8829956,37.4804001,42.9640999,3.46244,218.9680023,72.1815033,39.4104996,208.7050018,88.5426025,42.7602997,9.0
256.4599915,177.5619965,143.1699982,39.9628983,41.1866989,3.1559401,275.0939941,193.1390076,156.2640076,37.703701,43.1414986,3.6322501,218.1289978,75.4929962,39.4182014,203.197998,87.3009033,42.3353996,0.0
239.7590027,186.9100037,124.6620026,35.6169014,40.4894981,2.9506099,263.1839905,202.6069946,134.7559967,34.4756012,43.6889,3.0408101,211.3540039,63.5582008,38.5502014,201.4980011,71.0764008,41.2798996,0.0
243.7250061,161.7680054,125.651001,36.8745995,40.8455009,3.0387499,267.3120117,179.7830048,138.3999939,35.6044998,43.9127007,3.1342399,211.1430054,64.1988983,38.7510986,193.7220001,77.5251999,40.8908005,27.0
257.019989,185.5890045,144.6799927,40.1164017,41.2187996,3.1705,275.3760071,199.3650055,157.5829926,37.7873001,43.2140999,3.66433,219.5890045,82.0337982,39.5108986,213.7480011,92.4661026,42.7256012,0.0
236.4459991,176.9129944,115.9960022,35.027401,40.1805992,2.94081,261.8760071,204.6109924,129.8070068,34.0321007,43.4401016,3.02582,211.0619965,63.4641991,38.5390015,193.8950043,73.6897964,41.4113007,18.0
239.1289978,173.1779938,124.8050003,35.7547989,40.3395996,2.9461401,262.4100037,184.9290009,134.3800049,34.6220016,43.5029984,3.06515,210.4909973,63.4305,38.5097008,199.7279968,70.2447968,41.1815987,0.0
250.875,177.6719971,129.3990021,39.1982002,40.5168991,3.1721699,272.881012,178.102005,147.3549957,37.1509018,42.5293999,3.4790001,221.4299927,86.2683029,39.5061989,227.2619934,92.8072968,42.8768005,0.0
235.7669983,169.3150024,115.4219971,34.8774986,40.0596008,2.9331701,261.4670105,190.8079987,129.8809967,33.9146996,43.3497009,3.0195301,209.8690033,64.5003967,38.4898987,192.4320068,76.4247971,40.9841003,0.0
