H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
44.3834991,1904.1199951,4.4496799,65.5932999,40.2078018,1.91505,51.0853004,1945.0,4.8769302,50.7260017,35.6208,1.47664,219.8150024,87.2639008,134.8560028,213.8339996,103.8349991,43.8942986
45.5276985,1940.5899658,4.2761998,66.9865036,41.8874016,1.94794,50.6179008,1944.4499512,4.7504301,55.1738014,37.5824013,1.44915,239.5240021,94.8370972,46.3529015,227.2920074,106.8919983,44.4407997
51.2000008,1928.0400391,4.3025498,65.3131027,41.4422989,1.91997,54.5065002,1951.6400146,4.6784601,53.0015984,35.8944016,1.61585,245.4600067,95.4623032,43.2860985,222.4250031,106.2669983,37.9431
39.4044991,1938.7700195,4.7396202,65.7888031,39.9104996,2.51966,45.9561996,1975.3299561,5.08424,50.7858009,38.1222,1.52017,210.5899963,98.7489014,136.4730072,195.6840057,108.2990036,40.1181984
52.8218994,1912.2900391,4.4261198,64.0891037,41.3167,1.91075,56.0339012,1936.0100098,4.6801901,51.3569984,35.1403999,1.58732,245.2899933,92.4916992,43.1100006,217.8860016,105.1019974,37.7765999
32.9911003,1942.6899414,4.2632699,70.9001999,42.0719986,2.07165,39.1748009,1968.0799561,4.97086,55.2811012,40.5354004,1.57944,229.6719971,90.4545975,41.3694992,229.5910034,116.0970001,41.7616005
50.2144012,1913.5699463,4.5418901,64.9925003,41.1451988,2.0623801,53.8361015,1943.3499756,4.6423602,50.6758995,35.3404999,1.60331,248.397995,90.8216019,42.4793015,217.1929932,106.0289993,40.1050987
37.5363007,1940.8199463,3.9479101,72.4777985,41.7322006,2.2822299,44.5648003,1968.0799561,4.8913598,58.3540993,38.8522987,1.62668,230.9669952,101.0510025,42.1481018,234.3930054,116.2399979,42.1758995
32.2470016,2239.2700195,4.7526398,66.308197,43.289299,4.9981699,38.5597992,2239.7099609,4.8851199,51.2859001,40.8317986,1.98078,235.2230072,111.2350006,39.2663002,211.7089996,122.1119995,38.8843994
43.6353989,1964.5,4.1207399,68.9597015,42.2779999,2.04409,50.1884995,1972.8199463,4.7949901,55.9976997,38.1786003,1.62236,228.6329956,97.5783997,42.8172989,224.5269928,111.3099976,41.3539009
46.6715012,2074.7800293,4.5342202,64.5707016,41.6372986,4.0130401,53.5247993,2099.1599121,4.9453402,48.4164009,36.8007011,1.78565,240.2599945,93.072403,39.5180016,209.8959961,106.0960007,33.4541016
59.3105011,1890.0500488,4.0827899,64.6848984,39.1576996,1.66012,63.9874992,1921.6500244,4.7592201,49.8993988,34.164299,1.46813,222.5440063,85.3021011,131.2359924,204.0939941,102.0930023,48.5045013
46.3428001,1937.9100342,4.2581701,66.5159988,41.5798988,1.94312,51.2972984,1961.0999756,4.6248202,54.8900986,37.3740005,1.55352,241.9369965,94.2046967,46.7010002,226.7369995,106.1230011,44.846199
43.2518005,2224.1999512,4.5615802,71.391098,39.8764992,2.3373899,46.8350983,2235.0900879,4.9542098,49.033699,36.1155014,1.54897,216.0950012,107.3320007,142.4700012,190.5460052,110.4209976,40.6852989
44.4966011,2192.2399902,4.4485502,67.2048035,41.7737007,7.0205798,53.1716995,2205.9399414,4.8329401,47.4127998,37.4803009,2.00699,241.9830017,101.6589966,37.0942993,210.4920044,111.737999,31.4165001
44.5540009,1986.4300537,4.28514,67.6625977,41.1394005,2.2929399,50.9429016,1999.4399414,4.8731298,54.2785988,37.7929001,1.6132801,221.2200012,95.7508011,104.677002,216.2380066,109.0240021,45.1311989
54.9411011,1952.6099854,4.4017301,64.8796005,41.4110985,2.62958,56.8829002,1975.0799561,4.6847501,50.2960014,35.6391983,1.64256,245.2449951,93.0920029,42.9462013,216.8079987,105.3190002,37.5892982
45.9903984,1982.9399414,4.5929599,63.8507004,41.9488983,2.4718499,51.3809013,2014.4300537,4.7669902,49.0307999,36.7342987,1.6987799,244.5500031,86.1964035,42.1041985,211.5090027,103.1159973,35.1090012
47.7061996,1938.8499756,4.1923399,66.1659012,40.7195015,1.8344001,54.4956017,1953.1099854,4.8529,55.1907997,37.0281982,1.51353,224.2640076,94.0770035,43.4854012,227.1199951,108.7839966,42.114399
47.6385994,2063.0200195,4.5232301,67.4289017,39.6152,2.1161201,52.7549019,2093.6699219,5.0845499,49.9845009,35.9872017,1.4913599,211.5659943,96.5094986,135.9720001,198.0549927,106.5530014,40.2766991
41.8581009,2145.6799316,4.7320399,64.0650024,41.3933983,4.2428498,48.2200012,2120.6000977,4.9932499,49.0441017,38.2453995,1.76895,232.3670044,99.9128036,36.2265015,207.0429993,111.7590027,30.9188995
52.1497993,1922.4899902,4.3231802,65.0727005,41.4129982,1.87748,55.0755997,1945.9499512,4.67836,52.6691017,35.7188988,1.6065201,245.3540039,94.8044968,43.2414017,221.2680054,105.9140015,37.9039001
49.7907982,2003.8299561,4.41605,67.6016998,40.3320007,2.0578799,54.9449005,2029.5799561,4.87889,50.2131004,35.6960983,1.47846,218.8600006,92.1379013,139.177002,203.7949982,103.9240036,44.028801
40.7863007,1988.8599854,4.59303,67.7125015,40.0141983,2.4567201,46.8233986,2022.4799805,5.0598001,50.8807983,37.3037987,1.50306,214.0130005,95.5220032,140.5980072,199.2220001,105.7279968,42.5554008
54.8291016,1966.9899902,4.3919802,65.1106033,41.4397011,2.90997,56.9234009,1988.7399902,4.6860199,50.0816994,35.7855988,1.66021,245.3090057,93.6151962,42.9193993,217.029007,105.5999985,37.5513
46.8190002,2120.8999023,4.51964,65.5523987,41.5656013,6.1068501,54.7266998,2138.6000977,4.8296599,48.0589981,37.0569992,1.91801,241.7319946,97.8566971,37.2458,210.3800049,109.7689972,31.5258999
37.9948006,1998.7800293,4.48458,68.9384003,43.2543983,2.4637599,43.3059998,2001.0899658,4.8783002,54.8297005,39.3801003,1.62588,239.4730072,98.6276016,42.7013016,227.2929993,114.3219986,41.2071991
53.8771019,1940.0899658,4.4458699,64.4509964,41.3740997,2.42099,56.3185005,1964.2299805,4.6847801,50.2052002,35.4583015,1.62705,245.3040009,91.9300995,42.9553986,216.0399933,104.9229965,37.6054001
51.2560005,1963.9799805,4.3475599,67.7918015,39.9924011,1.971,56.7691994,1993.9899902,4.80691,50.2052994,35.3978996,1.48259,220.2830048,89.953598,136.8959961,205.4250031,103.8059998,47.1179008
50.5186996,2039.6700439,4.4972401,65.457901,42.1431999,4.1163402,55.8319016,2060.3500977,4.7606802,48.8961983,36.410099,1.73327,245.0130005,93.5375977,42.0057983,213.0160065,105.8769989,35.0703011
42.1954994,1979.4799805,4.4200001,68.1607971,40.8903999,2.18417,47.9026985,2009.6300049,4.8751302,50.9716988,37.6593018,1.47367,221.4649963,89.9866028,135.4019928,209.6130066,104.9980011,43.9650002
33.8665009,2213.3898926,4.8396702,64.9858017,42.6044006,2.8673201,38.6950989,2158.5,4.9145098,51.5654984,41.1883011,1.8271199,228.4530029,107.6760025,38.3544006,210.8280029,119.7630005,38.6851997
42.8722992,1949.6600342,4.1374102,68.1641006,42.0192986,1.90143,49.3847008,1962.5799561,4.7543402,57.2513008,38.0676994,1.60202,231.4859924,100.5009995,41.6999016,230.3099976,113.447998,42.3210983
38.9077988,2032.4499512,4.40868,67.3867035,41.3036003,2.73474,45.721199,2046.0799561,4.9491401,54.2303009,38.8049011,1.66327,221.5,99.5800018,114.5339966,217.5549927,112.6839981,46.6255989
