DI_Al_0_2,DI_Ca_0_2,DI_Fe_0_2,DI_K_0_2,DI_Mg_0_2,DI_P_0_2,DI_Al_2_6,DI_Ca_2_6,DI_Fe_2_6,DI_K_2_6,DI_Mg_2_6,DI_P_2_6,H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
252.9120026,177.0339966,136.5370026,38.5098,41.2827988,3.1919601,271.2099915,191.3670044,147.0500031,36.1744995,43.3291016,3.3317399,63.2490997,1984.8399658,4.73909,62.7018013,60.3889008,3.5829501,62.8268013,2030.5300293,4.92629,50.0075989,61.6908989,1.98602,219.4980011,69.8747025,39.7443008,202.2299957,81.8291016,42.9670982
259.7990112,196.4089966,151.4440002,40.4592018,41.4869003,3.17766,276.0100098,206.8339996,160.673996,37.9944992,43.4407997,3.6556599,46.6375008,2088.7800293,4.0488501,61.2509995,59.5250015,2.1155601,51.4877014,2083.4899902,4.9789701,50.1677017,56.4552994,1.40352,219.7250061,83.9901962,39.4786987,217.973999,92.1116028,42.8462982
259.8160095,195.4219971,151.3580017,40.4081993,41.4981995,3.17186,275.8169861,205.7440033,159.8339996,37.9296989,43.3844986,3.6552801,45.5597992,2077.0300293,3.93607,61.0996017,57.8011017,2.0522799,50.5626984,2086.6201172,4.6519799,50.098999,54.4668007,1.36766,219.4440002,81.7649994,39.4532013,215.6679993,90.0991974,42.7272987
257.8619995,182.2870026,146.3099976,40.0751991,41.3330002,3.15675,275.0020142,189.9459991,155.9259949,37.6901016,43.1500015,3.60254,44.5460014,2063.7399902,3.75225,60.7653999,54.3190002,1.98779,46.5270004,2088.6999512,3.8355999,50.0084,51.6081009,1.38378,218.1060028,76.2434006,39.3471985,204.0829926,83.7813034,42.2022018
237.6119995,181.6759949,118.6029968,35.1710014,40.2975006,2.94415,262.3670044,206.9940033,131.4309998,34.1258011,43.5505981,3.0235901,77.3955994,1908.2700195,5.2697401,64.3715973,63.7366982,4.8650699,80.4764023,1951.4300537,6.1476302,51.1175003,65.5374985,2.98334,211.3070068,63.4258995,38.5455017,196.2310028,73.3314972,41.3468018
240.3249969,185.977005,126.5289993,35.7743988,40.5332985,2.95275,263.3729858,198.8170013,135.7200012,34.6054001,43.7122002,3.0518601,80.3095016,1917.0600586,5.3153,64.5296021,63.7965012,5.2593498,81.4411011,1938.1199951,6.65031,51.2158012,63.0177002,3.0974901,211.3220062,63.4609985,38.5474014,203.0319977,70.183197,41.2675018
235.6809998,165.1569977,115.8339996,34.8908005,40.0136986,2.9280701,261.303009,183.6199951,129.852005,33.9301987,43.2809982,3.02719,80.415802,1902.9799805,5.2989202,64.0839996,62.7874985,4.8010898,79.1035004,1953.8000488,5.6670198,51.0019989,65.325798,2.8103499,209.0469971,64.231102,38.4356003,189.845993,77.1355972,40.8418999
261.348999,196.9320068,155.102005,40.5503006,41.6296005,3.18119,276.4949951,206.1999969,162.7960052,38.1036987,43.6066017,3.61396,47.7006989,2086.9199219,4.1562099,61.3009987,60.1666985,2.38925,50.6268005,2089.8300781,4.88237,50.1497993,58.8484993,1.40367,219.8329926,84.1343994,39.4222984,220.0410004,89.5800018,42.8888016
235.2579956,171.3639984,113.6959991,34.8894005,40.0684013,2.94326,261.4769897,196.2850037,129.026001,33.9070015,43.3717995,3.01004,75.8228989,1931.2600098,5.2855902,64.2416,63.8185997,4.6741199,73.2998962,1976.5899658,5.71767,50.9973984,66.4133987,2.59583,211.2879944,64.6996002,38.577301,196.8840027,73.971199,41.2081985
238.4470062,166.7810059,124.1419983,35.6651001,40.2467003,2.9438701,262.2799988,178.8609924,134.7030029,34.5834007,43.4606018,3.0897801,85.3515015,1884.9699707,5.5590501,64.2633972,64.1305008,5.4079599,86.5901031,1919.4899902,6.8403301,51.1986008,66.732399,3.2223201,210.1759949,64.2317963,38.4972,199.0619965,72.7037964,41.1506004
