H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
123.6790009,1506.0400391,16.5191994,135.7400055,113.6039963,167.2460022,130.923996,1519.8800049,20.7511997,86.8473969,107.3929977,109.7139969,206.9409943,45.8937988,30.093399,194.5330048,59.5611,23.8451004,0.0
103.1050034,1662.5300293,11.1772003,133.7059937,114.9420013,113.6269989,107.5130005,1588.5899658,13.2782001,88.5102005,110.0999985,74.4169998,195.371994,49.3064995,27.0433006,192.201004,60.9900017,24.3862991,11.3
143.6320038,1389.5400391,20.8122997,143.3439941,112.7949982,216.2389984,150.1950073,1513.8499756,26.5146999,86.924202,107.0,131.3549957,207.3240051,43.4314003,33.0993996,192.4409943,58.5863991,24.882,11.3
107.1600037,1607.6800537,12.2912998,123.1719971,116.3700027,121.7009964,112.5930023,1551.2299805,15.3498001,84.9804993,110.2929993,88.2717972,202.4589996,48.1487999,25.7483997,193.5090027,60.9053001,22.1131992,11.3
73.5410995,1820.5999756,6.1482301,160.451004,111.1999969,63.3462982,67.6343994,1682.3299561,6.0647602,94.052002,94.2121964,32.0713997,210.3869934,56.1545982,29.7604008,191.7140045,72.3450012,25.6574001,0.0
141.8769989,1398.6500244,20.4771996,142.7100067,112.8379974,211.8450012,148.5780029,1514.2700195,26.1763,86.9231033,107.026001,130.3029938,207.2839966,43.6333008,32.8544006,192.6139984,58.6258011,24.8024998,11.3
123.6949997,1502.5799561,16.1061993,133.3820038,114.6080017,153.2890015,130.4389954,1532.4599609,21.0002003,85.9524994,108.8610001,109.2409973,206.6369934,46.6719017,27.5058002,187.9980011,60.0806999,22.7644997,0.0
77.7686005,1762.7399902,6.65452,143.029007,106.5370026,57.1787987,72.7639999,1681.4799805,6.7059698,93.1018982,92.5886993,21.9775009,210.9210052,60.5810013,29.4099007,181.9389954,81.4448013,26.3537006,16.9
74.0569,1803.4899902,6.2512102,158.0599976,110.1809998,63.2425995,68.0686035,1682.4599609,6.2082801,93.9817963,94.1253967,28.9906998,210.4859924,57.1085014,30.0998001,191.0220032,74.8634033,25.9069004,0.0
115.3079987,1544.5699463,15.1272001,145.0140076,107.2320023,148.4420013,120.6610031,1577.6999512,19.4216003,92.7828979,102.2779999,93.0318985,209.423996,51.1082993,35.0634995,195.9830017,68.6324005,27.7451992,0.0
100.4720001,1592.9699707,12.6982002,137.7640076,115.1029968,107.9509964,113.0159988,1534.5500488,18.5841007,86.2176971,109.0550003,104.7649994,206.253006,49.7011986,26.8264008,182.2709961,61.3380013,21.8092003,0.0
75.4656982,1774.0300293,6.2741899,145.7700043,104.2180023,53.7997017,72.3050003,1683.5,6.7677202,93.2894974,92.4732971,20.3766994,211.3880005,62.0489006,32.7408981,194.1439972,83.7771988,27.8759995,5.6
130.9779968,1454.7800293,18.5417995,139.9949951,112.9459991,189.3630066,139.1719971,1516.3499756,24.2509995,86.8873978,107.1190033,126.2580032,207.2969971,44.5294991,32.6853981,195.8110046,58.5337982,24.8470001,11.3
73.3981018,1821.8800049,6.10606,160.7839966,111.4520035,63.9057007,68.4977036,1683.1300049,6.1152301,94.1214981,94.322197,33.1397018,210.3480072,55.8306007,30.3036995,192.0549927,71.5865021,25.7605991,5.6
101.1240005,1664.4300537,11.2833996,132.6569977,115.7689972,109.572998,105.1869965,1589.3800049,12.0158005,88.7811966,110.3509979,74.8332977,192.9579926,46.6417999,26.2646999,196.6940002,61.4016991,23.8381996,0.0
117.762001,1549.4799805,14.4799995,128.1100006,116.0619965,145.1399994,122.0550003,1548.2199707,17.7633991,85.0376968,110.1139984,94.713501,202.5749969,47.2807999,27.6562004,191.3630066,61.1008987,22.6228008,0.0
111.4700012,1586.3299561,13.1618004,125.1600037,116.473999,130.3390045,116.0559998,1550.2600098,15.9682999,84.9953995,110.2649994,89.3616028,202.5310059,47.8036995,26.5011005,193.0890045,60.9840012,22.4659996,11.3
73.4954987,1828.9000244,6.11028,159.2429962,111.1380005,61.5427017,61.8139992,1677.1400146,5.6666298,93.6528015,93.6796036,30.9719009,210.4730072,56.8277016,27.3791008,190.1779938,72.7814026,24.7667007,16.9
136.0890045,1433.0100098,19.1074009,139.6909943,113.1299973,194.5619965,142.7089996,1516.2199707,24.4281998,86.9141006,107.1689987,123.1809998,207.0189972,44.5460014,31.1289005,191.7649994,59.0651016,24.1413994,0.0
128.7019958,1474.8800049,17.5869007,137.3919983,113.3669968,177.848999,135.8399963,1518.2199707,22.4806004,86.8815002,107.2870026,116.4039993,206.9620056,45.3554001,30.5177994,193.1620026,59.3112984,23.9533997,5.6
96.1503983,1697.8699951,10.3038998,137.3760071,116.1119995,101.3010025,98.2064972,1653.4899902,10.6583996,91.4405975,111.0759964,64.5947037,197.246994,48.6236,27.1616001,197.4909973,63.2752991,23.5962009,0.0
73.2994003,1838.8199463,5.9363699,160.0200043,111.4810028,63.010601,67.4944992,1681.7800293,6.0392199,94.1381989,94.2265015,33.6506996,210.0670013,55.2532997,28.5291004,192.5189972,70.7807007,25.7873001,0.0
104.3980026,1620.9399414,11.7623997,121.9420013,116.2929993,117.8619995,110.5230026,1551.8800049,14.9728003,84.9627991,110.3079987,87.5566025,202.4210052,48.282299,25.3064995,193.7420044,60.8853989,21.8029995,11.3
124.7040024,1498.8199463,16.3080006,133.3359985,114.6080017,157.098999,131.1239929,1532.4300537,21.0818996,85.9244003,108.8560028,109.4929962,206.7339935,46.4351006,27.8127003,189.1519928,59.9934998,22.9570999,0.0
82.2941971,1774.8199463,7.7273998,148.8540039,116.2699966,77.3110962,77.8993988,1667.9200439,7.96105,90.8599014,98.1853027,47.4569016,208.9490051,52.9449997,28.3523006,196.1970062,67.4561005,25.4740009,0.0
75.7759018,1781.3699951,6.5255098,149.0480042,106.6449966,56.1352997,69.8639984,1679.2399902,6.4872599,93.0746002,92.3421021,23.1492004,211.302002,60.6973,30.0862999,189.871994,80.6809998,26.5450001,16.9
75.418602,1785.6199951,6.26196,146.1320038,103.3880005,48.3322983,72.0927963,1683.6600342,6.7863498,93.2829971,92.4349976,19.3425999,211.4579926,62.8260002,32.5667,195.0140076,84.9063034,27.6753998,0.0
