DI_Al_0_2,DI_Ca_0_2,DI_Fe_0_2,DI_K_0_2,DI_Mg_0_2,DI_P_0_2,DI_Al_2_6,DI_Ca_2_6,DI_Fe_2_6,DI_K_2_6,DI_Mg_2_6,DI_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
302.6900024,218.7599945,151.8569946,47.8319016,46.9327011,4.9279299,312.1159973,244.5480042,159.2279968,36.1104012,40.4980011,3.7943699,237.0910034,99.9360962,36.5498009,205.151001,109.4049988,31.0335007,0.0
326.0119934,232.4859924,169.9779968,46.5578995,46.7262993,4.4342299,296.125,252.4880066,155.552002,38.7563019,40.7224007,4.2632198,230.2510071,103.2890015,38.5339012,213.7380066,116.5719986,38.7022018,16.9
203.4299927,220.2870026,108.612999,36.5298004,28.8337002,3.4359801,230.3059998,230.576004,123.2490005,29.9099007,30.7952995,3.36867,213.9929962,94.7264023,138.0650024,201.9120026,105.7340012,42.4454994,22.5
268.9670105,209.3639984,140.6840057,34.9308014,35.6445999,3.4447701,277.2630005,220.8529968,145.9360046,30.5375004,36.2155991,3.40869,246.6260071,91.2982025,41.6792984,214.8950043,106.5599976,38.6488991,16.9
289.9079895,221.6009979,153.2720032,33.8684998,37.6916008,2.8801501,285.8770142,231.0249939,150.7050018,31.2280006,37.7491989,3.03877,244.9880066,93.6763,43.1306992,218.4149933,105.0950012,37.8182983,0.0
263.3299866,210.2830048,140.6950073,37.2902985,36.7193985,3.8171301,248.0650024,225.7369995,133.576004,33.6488991,34.2714996,4.11203,233.0059967,96.7494965,43.2271004,223.9290009,113.737999,41.6757011,22.5
246.5679932,235.3209991,131.875,42.1783981,35.6677017,3.90716,245.6869965,248.2039948,131.7330017,34.9705009,34.2621994,3.8706999,222.5059967,100.7939987,121.9160004,218.0099945,114.197998,46.9017982,0.0
240.477005,194.3419952,125.6070023,24.9328003,28.7844009,3.0118501,254.4759979,187.8609924,133.7929993,25.9885998,32.8667984,3.2776,244.2079926,83.4060974,42.1366997,211.4579926,102.2149963,35.1216011,0.0
247.8999939,196.8580017,127.9779968,35.8418999,35.7545013,3.6464801,260.3880005,214.9839935,135.746994,29.7693005,33.6750984,3.35306,244.901001,91.6528015,42.0209007,212.1730042,105.1610031,35.0802002,0.0
299.3190002,225.7489929,159.8240051,43.3964996,43.0200996,3.6584201,282.0150146,248.0509949,151.173996,36.0008011,39.2248001,3.8424001,231.2019958,100.177002,41.6100998,228.7550049,113.9089966,42.2568016,0.0
253.1679993,244.2169952,134.3220062,47.4532013,36.4826012,4.41365,284.6220093,254.6390076,151.802002,34.5784988,38.0196991,3.4683001,215.3730011,100.8860016,139.2550049,195.5149994,108.211998,40.6838989,0.0
