M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
78.1267014,4277.0097656,31.6018009,402.6229858,121.3219986,14.8366003,115.7969971,4256.4799805,41.5592003,346.0580139,114.7139969,9.5010204,227.8930054,100.5449982,38.9977989,213.6580048,117.6869965,40.2995987
140.2839966,4222.9199219,33.1523018,397.7000122,129.526001,15.4902,175.8939972,4207.4101562,42.6988983,344.7739868,116.435997,7.8794398,244.6820068,90.7415009,42.3805008,217.1049957,106.6539993,35.280201
91.2847977,4310.1298828,31.4013996,398.5480042,127.3880005,14.7953997,117.413002,4349.5600586,42.3008003,349.0979919,116.302002,9.0669403,224.8569946,106.9140015,140.6159973,206.7149963,117.2139969,48.844101
146.3099976,4194.4399414,30.2476006,388.7279968,120.2320023,13.8632002,198.0410004,4206.0698242,43.5388985,348.1650085,109.9319992,8.8023596,213.9199982,95.6752014,140.0619965,199.3139954,106.0169983,42.5136986
63.906601,4012.7800293,29.7360001,406.0620117,134.4380035,14.4164,98.0114975,3936.5,41.0275993,362.8009949,123.473999,8.91675,231.871994,101.6350021,41.8227997,233.5279999,113.7310028,42.4081993
178.3289948,4166.7299805,32.9632988,397.8800049,130.25,15.4047003,212.3190002,4170.5400391,42.6531982,347.6470032,116.5540009,7.7343302,244.9100037,91.8339996,42.0214996,212.279007,105.2210007,35.0810013
164.7839966,4224.4301758,32.9073982,395.3370056,126.4049988,15.6033001,199.75,4233.4799805,42.9127998,344.3009949,115.2129974,7.8745298,238.9219971,91.9822998,39.4746017,208.9669952,106.0449982,33.4431992
202.9550018,3995.8898926,30.3556995,397.9410095,140.401001,12.934,264.8070068,3897.6699219,42.4225998,363.7799988,122.8119965,8.3120003,220.0850067,83.0792999,132.4389954,207.0010071,100.2529984,46.2024002
110.177002,4301.2001953,31.6616993,384.776001,124.8310013,14.0424004,143.7259979,4324.25,42.966301,343.631012,112.9950027,8.8477001,217.1260071,101.0039978,122.4420013,205.7850037,113.5759964,39.5355988
180.4609985,4122.2797852,32.1043015,403.4989929,134.3410034,14.7061996,209.5910034,4091.5100098,41.7373009,356.2900085,119.5080032,7.6421399,245.4069977,92.8759003,42.9040985,216.2910004,105.4329987,37.5433998
163.7680054,4127.0600586,30.9081993,391.4819946,123.348999,13.6365004,217.1940002,4089.6799316,43.3222008,350.3919983,113.5960007,8.4903402,219.8150024,87.2639008,134.8560028,213.8339996,103.8349991,43.8942986
104.572998,4039.2600098,31.5000992,400.1300049,131.0879974,14.0671997,135.8739929,3979.75,42.0453987,358.4020081,118.8970032,8.2948704,239.5240021,94.8370972,46.3529015,227.2920074,106.8919983,44.4407997
141.7339935,4048.9899902,31.4116001,403.7650146,135.1690063,14.6084995,169.2749939,3997.0300293,41.7118988,360.5299988,120.848999,7.6922598,245.4600067,95.4623032,43.2860985,222.4250031,106.2669983,37.9431
145.0110016,4193.8398438,29.2644997,390.0899963,119.9319992,13.1322002,201.3899994,4208.7597656,42.7261009,348.8609924,109.7070007,8.88554,210.5899963,98.7489014,136.4730072,195.6840057,108.2990036,40.1181984
162.0110016,4083.7099609,32.1722984,403.4989929,133.1410065,14.5791998,193.4309998,4043.8400879,41.7232018,359.3649902,119.5749969,7.6105299,245.2899933,92.4916992,43.1100006,217.8860016,105.1019974,37.7765999
64.0441971,4170.9399414,31.4044991,397.9869995,126.4079971,14.3498001,104.0240021,4121.6298828,42.0060005,345.95401,114.0599976,8.8974504,229.6719971,90.4545975,41.3694992,229.5910034,116.0970001,41.7616005
170.7079926,4117.1298828,32.9311981,407.303009,129.121994,15.0665998,203.4559937,4094.0100098,41.3866005,354.302002,116.0820007,7.7881799,248.397995,90.8216019,42.4793015,217.1929932,106.0289993,40.1050987
47.0864983,4090.3000488,29.5317993,400.2720032,130.3990021,14.3835001,82.2363968,4032.25,41.6447983,359.2990112,121.7600021,9.0483398,230.9669952,101.0510025,42.1481018,234.3930054,116.2399979,42.1758995
71.7677994,4349.1401367,31.2068005,410.9460144,131.2460022,16.2451992,93.1399994,4374.9599609,42.0830002,349.7049866,122.8949966,8.9653997,235.2230072,111.2350006,39.2663002,211.7089996,122.1119995,38.8843994
88.5957031,4047.3999023,30.1399994,409.7980042,134.75,14.2468996,128.802002,3974.5200195,42.1492996,360.7569885,122.8349991,8.8240995,228.6329956,97.5783997,42.8172989,224.5269928,111.3099976,41.3539009
175.7100067,4200.7700195,32.8300018,395.5979919,129.673996,15.5778999,211.7830048,4217.3300781,42.8964996,346.1669922,116.5699997,7.8231502,240.2599945,93.072403,39.5180016,209.8959961,106.0960007,33.4541016
191.3739929,4022.2600098,30.1564999,401.5249939,134.0019989,13.3509998,248.1829987,3944.8500977,42.0598984,361.4869995,121.7549973,8.4233704,222.5440063,85.3021011,131.2359924,204.0939941,102.0930023,48.5045013
111.3840027,4040.6298828,31.4659996,398.8469849,131.1869965,14.0825996,141.1909943,3980.7399902,41.549099,357.7149963,119.3619995,8.3418503,241.9369965,94.2046967,46.7010002,226.7369995,106.1230011,44.846199
138.3630066,4261.7001953,32.2192993,393.2099915,128.3939972,13.2138996,173.3049927,4302.0800781,42.4850998,344.8059998,106.5630035,8.55439,216.0950012,107.3320007,142.4700012,190.5460052,110.4209976,40.6852989
166.9669952,4256.3598633,32.0886002,399.9570007,138.4889984,15.2404003,210.9369965,4288.75,41.8149986,345.9110107,121.7679977,7.80691,241.9830017,101.6589966,37.0942993,210.4920044,111.737999,31.4165001
116.2799988,4086.75,30.0802002,394.7030029,130.072998,14.1119003,159.9380035,4038.5700684,41.9698982,356.9440002,119.5770035,8.8965502,221.2200012,95.7508011,104.677002,216.2380066,109.0240021,45.1311989
178.0050049,4094.6398926,31.9785004,403.5239868,135.2640076,14.6763,205.0149994,4050.5100098,41.7288017,357.9909973,120.112999,7.6401401,245.2449951,93.0920029,42.9462013,216.8079987,105.3190002,37.5892982
175.7890015,4182.0600586,33.3240013,397.5490112,124.0930023,15.3238001,208.5590057,4186.8901367,42.6575012,344.7850037,112.9000015,7.7116199,244.5500031,86.1964035,42.1041985,211.5090027,103.1159973,35.1090012
115.5159988,4001.0200195,30.1580009,402.2940063,132.8829956,13.6497002,161.4199982,3924.0300293,42.3072014,360.0339966,121.1309967,8.5408297,224.2640076,94.0770035,43.4854012,227.1199951,108.7839966,42.114399
162.7030029,4173.6401367,31.0097008,390.7409973,127.6389999,12.9771004,208.298996,4202.9199219,42.7719994,350.3399963,112.0199966,8.5871601,211.5659943,96.5094986,135.9720001,198.0549927,106.5530014,40.2766991
140.3249969,4275.1098633,32.1604004,396.8680115,129.4620056,14.6927996,179.3029938,4268.3598633,42.1104012,346.4389954,117.0660019,7.9380298,232.3670044,99.9128036,36.2265015,207.0429993,111.7590027,30.9188995
146.8439941,4050.4499512,31.5209999,403.7200012,135.3119965,14.599,173.9109955,3997.7700195,41.7108002,360.8190002,120.8089981,7.6743898,245.3540039,94.8044968,43.2414017,221.2680054,105.9140015,37.9039001
172.7879944,4118.0898438,31.0823002,391.6130066,127.7929993,13.6483002,224.5010071,4100.9199219,43.3208008,351.2640076,113.4779968,8.5326204,218.8600006,92.1379013,139.177002,203.7949982,103.9240036,44.028801
150.9980011,4185.5800781,30.3253994,388.7999878,120.8509979,13.8380003,202.177002,4198.9599609,43.5377007,348.5130005,110.0410004,8.7720098,214.0130005,95.5220032,140.5980072,199.2220001,105.7279968,42.5554008
180.095993,4103.2797852,31.9365005,403.5350037,135.4880066,14.7031002,207.7059937,4061.2900391,41.7327995,357.3850098,120.2570038,7.6512399,245.3090057,93.6151962,42.9193993,217.029007,105.5999985,37.5513
172.7200012,4225.1298828,32.3235016,399.6740112,135.5079956,15.0431004,217.0559998,4253.1401367,41.7986984,348.2489929,120.2480011,7.7547598,241.7319946,97.8566971,37.2458,210.3800049,109.7689972,31.5258999
85.7340012,4177.3999023,31.6086006,401.7780151,128.298996,14.6709995,116.5299988,4148.1201172,42.4641991,349.5,117.4380035,8.6261702,239.4730072,98.6276016,42.7013016,227.2929993,114.3219986,41.2071991
177.5850067,4107.5400391,32.2392006,403.4549866,133.6929932,14.6515999,206.4900055,4072.6599121,41.7319984,357.2860107,119.1589966,7.6163502,245.3040009,91.9300995,42.9553986,216.0399933,104.9229965,37.6054001
180.6000061,4106.5698242,30.6515007,399.6340027,128.723999,13.4863997,235.4179993,4069.7700195,42.2630005,353.9979858,115.0210037,8.6411505,220.2830048,89.953598,136.8959961,205.4250031,103.8059998,47.1179008
178.7709961,4153.1899414,32.8326988,398.0029907,132.8079987,15.4240999,214.1779938,4154.9101562,42.6514015,349.1069946,118.0479965,7.7461801,245.0130005,93.5375977,42.0057983,213.0160065,105.8769989,35.0703011
136.0540009,4196.8798828,31.7835007,391.5379944,126.4960022,13.8021002,181.5469971,4171.8500977,43.3568001,346.9129944,113.2959976,8.5829296,221.4649963,89.9866028,135.4019928,209.6130066,104.9980011,43.9650002
78.8191986,4311.6201172,31.1112995,401.5310059,123.6930008,15.6740999,108.7279968,4315.6201172,41.1068993,345.6170044,117.1340027,9.0673704,228.4530029,107.6760025,38.3544006,210.8280029,119.7630005,38.6851997
74.7872009,4010.9899902,30.0111008,406.0069885,134.1840057,14.3928003,108.4319992,3937.1599121,41.0209999,362.75,123.2529984,8.87356,231.4859924,100.5009995,41.6999016,230.3099976,113.447998,42.3210983
100.2699966,4172.5800781,30.0844002,389.0979919,124.6989975,14.5010996,138.8359985,4169.7998047,41.6977997,351.9249878,117.5059967,9.1700001,221.5,99.5800018,114.5339966,217.5549927,112.6839981,46.6255989
116.9810028,4278.4702148,32.2140999,400.6900024,129.9920044,15.5178003,151.4750061,4288.8598633,42.6375008,345.9440002,118.1719971,8.4081402,240.9219971,101.0319977,39.5471992,217.298996,115.1839981,36.3115997
89.9167023,4008.4599609,30.2651005,405.9679871,134.3419952,14.3542004,122.8550034,3940.1599121,41.0077019,363.4190063,123.3310013,8.8115797,231.0440063,99.373703,41.5741005,226.8309937,112.913002,42.2252998
175.5410004,4084.8701172,31.9929008,403.5209961,135.3480072,14.6440001,202.0509949,4037.9599609,41.7229004,359.0180054,120.1910019,7.6280298,245.1560059,92.7294998,42.9749985,216.6499939,105.0530014,37.6296005
175.2819977,4203.5800781,32.8412018,395.5050049,127.7139969,15.5692997,210.5149994,4219.2299805,42.8942986,345.2879944,115.6380005,7.8261299,240.0050049,91.9410019,39.5125008,209.0399933,105.6539993,33.4499016
201.5740051,4015.3300781,30.3332005,397.6520081,136.2839966,12.9717999,263.1010132,3920.2199707,42.4220009,360.6619873,120.0550003,8.3618402,219.9060059,86.0445023,134.6820068,208.2510071,101.7870026,46.2515984
179.173996,4146.5,32.7882996,398.053009,133.7619934,15.4324999,215.348999,4148.1098633,42.651001,349.5889893,118.5859985,7.7523699,245.0619965,94.1434021,41.9981003,213.352005,106.1299973,35.0614014
