Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2,Ols_Al_2_6,Ols_Ca_2_6,Ols_Fe_2_6,Ols_K_2_6,Ols_Mg_2_6,Ols_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
0.821531,147.4680023,1.36294,252.4429932,64.0562973,7.0331702,0.908531,122.6220016,1.53671,182.4329987,57.5036011,3.7297101,170.4940033,37.8680992,16.4347,143.4850006,48.574501,16.0352001
1.31037,109.4219971,1.7576801,236.9279938,32.4149017,4.8913898,1.2419699,97.6976013,1.32461,212.4360046,32.5157013,3.2448201,170.1569977,65.884697,20.5991001,146.5789948,83.5001984,18.4680996
0.613669,109.7210007,1.4804699,254.1959991,43.7705994,4.2912898,0.655375,93.7657013,1.44051,200.1040039,41.591301,3.22505,165.8359985,53.0069008,19.2381992,152.4680023,64.1384964,19.5963993
0.709394,100.8580017,1.55699,237.4470062,38.5514984,3.70292,0.68758,95.0610962,1.31444,210.9279938,38.7252998,3.2016301,174.1470032,57.0616989,19.8724003,159.2799988,67.5681992,21.4892998
0.555622,134.154007,1.31352,249.7369995,60.7067986,6.3566298,0.694219,95.4704971,1.5107599,176.6300049,51.1899986,3.4132299,182.1560059,38.3799019,17.0065994,143.4589996,50.7360992,16.3423996
0.873871,86.2421036,1.67768,239.3619995,32.7182999,3.3726299,0.721646,88.3050995,1.32623,213.7879944,36.6054001,3.2278099,159.878006,58.9403,20.4796009,150.7409973,70.8135986,20.5741997
1.13638,55.3456001,1.73411,231.2389984,11.8952999,2.56197,0.859905,98.8315964,1.3269,226.9149933,36.3395996,3.4237599,170.102005,58.0909004,20.4482002,153.279007,70.9940033,21.1420002
0.657248,142.7449951,1.32986,249.3190002,69.1582031,7.9608202,0.796622,108.2969971,1.51916,172.7019958,56.3852997,3.7783999,189.1150055,35.4944,16.8990993,144.4170074,46.3130989,16.2318993
0.697812,106.6969986,1.54913,237.9120026,39.6422997,3.9193201,0.659348,93.106102,1.31339,206.5720062,38.1857986,3.1100099,168.9080048,57.7333984,19.809,157.8580017,68.9440994,20.655899
0.866785,81.5121994,1.67354,238.5709991,32.5471992,3.41679,0.674869,85.4673996,1.32631,214.4299927,35.6875992,3.26068,152.1920013,59.4500008,20.3374004,147.7050018,71.6444016,19.9790001
0.611974,138.5469971,1.32665,249.2799988,66.0134964,7.2953501,0.705738,102.1719971,1.52011,172.9349976,54.8422012,3.5593901,182.9029999,35.7400017,16.8139,141.9949951,48.1002007,15.6194
0.879385,113.2890015,1.61076,223.1829987,46.4779015,4.9656,0.815028,105.2799988,1.48742,199.7960052,45.1917,3.4433601,169.401001,47.9105988,18.7765007,150.3049927,59.1580009,18.7268009
0.60825,122.0920029,1.33127,249.2310028,49.3801003,4.8341298,0.731177,99.9949036,1.51767,187.5319977,47.2938004,3.20171,162.5390015,43.0292015,17.0636997,144.2039948,53.9849014,16.6926994
0.562,135.4609985,1.31346,249.5639954,62.0395012,6.5573001,0.66577,96.879303,1.5104001,175.302002,52.6507988,3.3807399,179.5039978,37.0069008,16.9440002,141.1840057,49.9682999,15.6819
0.61799,123.6760025,1.33211,249.1809998,50.3669014,4.90837,0.735957,100.5289993,1.51679,187.3959961,47.9173012,3.23138,162.6340027,42.778801,17.0543003,143.8619995,54.1451988,16.7021008
0.561373,136.3410034,1.31425,249.526001,63.2766991,6.7207098,0.682115,96.9427032,1.5102299,175.3350067,52.8193016,3.45138,182.0980072,37.0750999,17.0088997,142.2510071,49.8336983,16.1597004
